filename,time(ms),#state
log-abs-cb2-c-a-gcd1.log,325640,6592
log-abs-cb2-c-a-gcd2.log,1013140,20397
log-abs-cb2-c-a-gcd3.log,1974464,39489
log-abs-cb2-c-i-gcd1.log,105620,2847
log-abs-cb2-c-i-gcd2.log,270632,7300
log-abs-cb2-c-i-gcd3.log,566148,15400
log-abs-cb2-c-n-gcd1.log,341616,6902
log-abs-cb2-c-n-gcd2.log,1045364,20707
log-abs-cb2-c-n-gcd3.log,2073160,40795
log-abs-cb2-c-p-gcd1.log,93636,2537
log-abs-cb2-c-p-gcd2.log,250672,6793
log-abs-cb2-c-p-gcd3.log,507276,13897
log-abs-cb2-s-a-gcd1.log,68816,1640
log-abs-cb2-s-a-gcd2.log,212552,4818
log-abs-cb2-s-a-gcd3.log,436192,9620
log-abs-cb2-s-i-gcd1.log,99936,2676
log-abs-cb2-s-i-gcd2.log,357696,9700
log-abs-cb2-s-i-gcd3.log,807276,21376
log-abs-cb2-s-n-gcd1.log,133808,2676
log-abs-cb2-s-n-gcd2.log,484432,9700
log-abs-cb2-s-n-gcd3.log,1109632,21376
log-abs-cb2-s-p-gcd1.log,54196,1443
log-abs-cb2-s-p-gcd2.log,162772,4401
log-abs-cb2-s-p-gcd3.log,329680,8969
log-abs-r-c-a-gcd1.log,2016,326
log-abs-r-c-a-gcd2.log,6768,1079
log-abs-r-c-a-gcd3.log,11972,1970
log-abs-r-c-i-gcd1.log,1220,228
log-abs-r-c-i-gcd2.log,3372,677
log-abs-r-c-i-gcd3.log,6832,1416
log-abs-r-c-n-gcd1.log,3124,482
log-abs-r-c-n-gcd2.log,10540,1652
log-abs-r-c-n-gcd3.log,21296,3396
log-abs-r-c-p-gcd1.log,684,130
log-abs-r-c-p-gcd2.log,1740,358
log-abs-r-c-p-gcd3.log,3220,674
log-abs-r-s-a-gcd1.log,808,134
log-abs-r-s-a-gcd2.log,1228,214
log-abs-r-s-a-gcd3.log,2060,353
log-abs-r-s-i-gcd1.log,1224,232
log-abs-r-s-i-gcd2.log,3388,681
log-abs-r-s-i-gcd3.log,6984,1438
log-abs-r-s-n-gcd1.log,1540,232
log-abs-r-s-n-gcd2.log,4520,681
log-abs-r-s-n-gcd3.log,9488,1438
log-abs-r-s-p-gcd1.log,680,134
log-abs-r-s-p-gcd2.log,996,199
log-abs-r-s-p-gcd3.log,1640,338
log-abs-t1-c-a-gcd1.log,-,-
log-abs-t1-c-a-gcd2.log,-,-
log-abs-t1-c-a-gcd3.log,-,-
log-abs-t1-c-i-gcd1.log,3118364,265005
log-abs-t1-c-i-gcd2.log,-,-
log-abs-t1-c-i-gcd3.log,-,-
log-abs-t1-c-n-gcd1.log,-,-
log-abs-t1-c-n-gcd2.log,-,-
log-abs-t1-c-n-gcd3.log,-,-
log-abs-t1-c-p-gcd1.log,922532,82743
log-abs-t1-c-p-gcd2.log,-,-
log-abs-t1-c-p-gcd3.log,-,-
log-abs-t1-s-a-gcd1.log,735024,51612
log-abs-t1-s-a-gcd2.log,-,-
log-abs-t1-s-a-gcd3.log,-,-
log-abs-t1-s-i-gcd1.log,665092,60076
log-abs-t1-s-i-gcd2.log,-,-
log-abs-t1-s-i-gcd3.log,-,-
log-abs-t1-s-n-gcd1.log,1896080,119624
log-abs-t1-s-n-gcd2.log,-,-
log-abs-t1-s-n-gcd3.log,-,-
log-abs-t1-s-p-gcd1.log,273352,26232
log-abs-t1-s-p-gcd2.log,1639428,151191
log-abs-t1-s-p-gcd3.log,-,-
log-abs-t2-c-a-gcd1.log,923652,73328
log-abs-t2-c-a-gcd2.log,-,-
log-abs-t2-c-a-gcd3.log,-,-
log-abs-t2-c-i-gcd1.log,304204,31841
log-abs-t2-c-i-gcd2.log,2021580,205201
log-abs-t2-c-i-gcd3.log,-,-
log-abs-t2-c-n-gcd1.log,1947760,145593
log-abs-t2-c-n-gcd2.log,-,-
log-abs-t2-c-n-gcd3.log,-,-
log-abs-t2-c-p-gcd1.log,126920,13484
log-abs-t2-c-p-gcd2.log,550164,58465
log-abs-t2-c-p-gcd3.log,-,-
log-abs-t2-s-a-gcd1.log,140992,11751
log-abs-t2-s-a-gcd2.log,1005060,81129
log-abs-t2-s-a-gcd3.log,-,-
log-abs-t2-s-i-gcd1.log,114888,12143
log-abs-t2-s-i-gcd2.log,613628,64659
log-abs-t2-s-i-gcd3.log,-,-
log-abs-t2-s-n-gcd1.log,309616,23857
log-abs-t2-s-n-gcd2.log,2048456,151857
log-abs-t2-s-n-gcd3.log,-,-
log-abs-t2-s-p-gcd1.log,54360,6067
log-abs-t2-s-p-gcd2.log,316912,34729
log-abs-t2-s-p-gcd3.log,-,-
log-abs-t3-c-a-gcd1.log,235656,22410
log-abs-t3-c-a-gcd2.log,1112292,104103
log-abs-t3-c-a-gcd3.log,-,-
log-abs-t3-c-i-gcd1.log,54020,6918
log-abs-t3-c-i-gcd2.log,336892,42983
log-abs-t3-c-i-gcd3.log,2241104,269674
log-abs-t3-c-n-gcd1.log,305536,29132
log-abs-t3-c-n-gcd2.log,2649576,243603
log-abs-t3-c-n-gcd3.log,-,-
log-abs-t3-c-p-gcd1.log,33812,4309
log-abs-t3-c-p-gcd2.log,142112,18020
log-abs-t3-c-p-gcd3.log,799736,98846
log-abs-t3-s-a-gcd1.log,29224,2921
log-abs-t3-s-a-gcd2.log,192952,18909
log-abs-t3-s-a-gcd3.log,2322612,216558
log-abs-t3-s-i-gcd1.log,20064,2587
log-abs-t3-s-i-gcd2.log,101484,13037
log-abs-t3-s-i-gcd3.log,1260060,155005
log-abs-t3-s-n-gcd1.log,52552,4999
log-abs-t3-s-n-gcd2.log,317896,29689
log-abs-t3-s-n-gcd3.log,-,323470
log-abs-t3-s-p-gcd1.log,11660,1533
log-abs-t3-s-p-gcd2.log,63828,8377
log-abs-t3-s-p-gcd3.log,790240,99804
log-abs-t4-c-a-gcd1.log,216860,21246
log-abs-t4-c-a-gcd2.log,1027728,99507
log-abs-t4-c-a-gcd3.log,-,-
log-abs-t4-c-i-gcd1.log,37120,4876
