filename,time(ms)
log-abs-cb2-c-a-gcd1.log,325640
log-abs-cb2-c-a-gcd2.log,1013140
log-abs-cb2-c-a-gcd3.log,1974464
log-abs-cb2-c-i-gcd1.log,105620
log-abs-cb2-c-i-gcd2.log,270632
log-abs-cb2-c-i-gcd3.log,566148
log-abs-cb2-c-n-gcd1.log,341616
log-abs-cb2-c-n-gcd2.log,1045364
log-abs-cb2-c-n-gcd3.log,2073160
log-abs-cb2-c-p-gcd1.log,93636
log-abs-cb2-c-p-gcd2.log,250672
log-abs-cb2-c-p-gcd3.log,507276
log-abs-cb2-s-a-gcd1.log,68816
log-abs-cb2-s-a-gcd2.log,212552
log-abs-cb2-s-a-gcd3.log,436192
log-abs-cb2-s-i-gcd1.log,99936
log-abs-cb2-s-i-gcd2.log,357696
log-abs-cb2-s-i-gcd3.log,807276
log-abs-cb2-s-n-gcd1.log,133808
log-abs-cb2-s-n-gcd2.log,484432
log-abs-cb2-s-n-gcd3.log,1109632
log-abs-cb2-s-p-gcd1.log,54196
log-abs-cb2-s-p-gcd2.log,162772
log-abs-cb2-s-p-gcd3.log,329680
log-gcd-cb2-c-a-gcd1.log,1207500
log-gcd-cb2-c-a-gcd2.log,2547360
log-gcd-cb2-c-i-gcd1.log,349512
log-gcd-cb2-c-i-gcd2.log,815480
log-gcd-cb2-c-i-gcd3.log,1138772
log-gcd-cb2-c-n-gcd1.log,1252208
log-gcd-cb2-c-n-gcd2.log,2685436
log-gcd-cb2-c-p-gcd1.log,312292
log-gcd-cb2-c-p-gcd2.log,715540
log-gcd-cb2-c-p-gcd3.log,1001180
log-gcd-cb2-s-a-gcd1.log,206256
log-gcd-cb2-s-a-gcd2.log,424768
log-gcd-cb2-s-a-gcd3.log,655368
log-gcd-cb2-s-i-gcd1.log,342776
log-gcd-cb2-s-i-gcd2.log,706992
log-gcd-cb2-s-i-gcd3.log,1088464
log-gcd-cb2-s-n-gcd1.log,456592
log-gcd-cb2-s-n-gcd2.log,954952
log-gcd-cb2-s-n-gcd3.log,1458220
log-gcd-cb2-s-p-gcd1.log,163960
log-gcd-cb2-s-p-gcd2.log,337468
log-gcd-cb2-s-p-gcd3.log,515760
