filename,time(ms),#state
log-abs-cb2-c-a-gcd1.log,325640,6592
log-abs-cb2-c-a-gcd2.log,1013140,20397
log-abs-cb2-c-a-gcd3.log,1974464,39489
log-abs-cb2-c-i-gcd1.log,105620,2847
log-abs-cb2-c-i-gcd2.log,270632,7300
log-abs-cb2-c-i-gcd3.log,566148,15400
log-abs-cb2-c-n-gcd1.log,341616,6902
log-abs-cb2-c-n-gcd2.log,1045364,20707
log-abs-cb2-c-n-gcd3.log,2073160,40795
log-abs-cb2-c-p-gcd1.log,93636,2537
log-abs-cb2-c-p-gcd2.log,250672,6793
log-abs-cb2-c-p-gcd3.log,507276,13897
log-abs-cb2-s-a-gcd1.log,68816,1640
log-abs-cb2-s-a-gcd2.log,212552,4818
log-abs-cb2-s-a-gcd3.log,436192,9620
log-abs-cb2-s-i-gcd1.log,99936,2676
log-abs-cb2-s-i-gcd2.log,357696,9700
log-abs-cb2-s-i-gcd3.log,807276,21376
log-abs-cb2-s-n-gcd1.log,133808,2676
log-abs-cb2-s-n-gcd2.log,484432,9700
log-abs-cb2-s-n-gcd3.log,1109632,21376
log-abs-cb2-s-p-gcd1.log,54196,1443
log-abs-cb2-s-p-gcd2.log,162772,4401
log-abs-cb2-s-p-gcd3.log,329680,8969
log-gcd-cb2-c-a-gcd1.log,1207500,24628
log-gcd-cb2-c-a-gcd2.log,2547360,54935
log-gcd-cb2-c-i-gcd1.log,349512,9420
log-gcd-cb2-c-i-gcd2.log,815480,22042
log-gcd-cb2-c-i-gcd3.log,1138772,30920
log-gcd-cb2-c-n-gcd1.log,1252208,25556
log-gcd-cb2-c-n-gcd2.log,2685436,56792
log-gcd-cb2-c-p-gcd1.log,312292,8492
log-gcd-cb2-c-p-gcd2.log,715540,19397
log-gcd-cb2-c-p-gcd3.log,1001180,27280
log-gcd-cb2-s-a-gcd1.log,206256,5213
log-gcd-cb2-s-a-gcd2.log,424768,10779
log-gcd-cb2-s-a-gcd3.log,655368,16569
log-gcd-cb2-s-i-gcd1.log,342776,9138
log-gcd-cb2-s-i-gcd2.log,706992,19082
log-gcd-cb2-s-i-gcd3.log,1088464,29410
log-gcd-cb2-s-n-gcd1.log,456592,9138
log-gcd-cb2-s-n-gcd2.log,954952,19082
log-gcd-cb2-s-n-gcd3.log,1458220,29410
log-gcd-cb2-s-p-gcd1.log,163960,4425
log-gcd-cb2-s-p-gcd2.log,337468,9099
log-gcd-cb2-s-p-gcd3.log,515760,13941
